"Queue","Count","Age"
trms_eg_ari_mdr_cg_wrk_amz,13,2706531
trms_eg_ari_email_ari_esc_wrk_amz,10,377375
trms_eg_ari_highrisk_lvrefundapproval_wrk_amz,10,11877
trms_eg_ari_pfw_highrisk_wrk_amz,10,16246
trms_eg_ari_buyerclaimsabuse_wrk_amz,5,178553
trms_eg_ari_high_risk_accinvestigation_wrk_amz,5,317091
trms_eg_ari_in_transit_wrk_amz,4,318824
trms_eg_ari_afnrrefundapproval_wrk_amz,3,16171
trms_eg_ari_email_ari_rcr_wrk_amz,3,26773
trms_eg_ari_email_dnr_emails_wrk_amz,2,39359
trms_eg_ari_psi_transfer_concession_level_wrk_amz,2,2364001
trms_eg_ari_afn_refund_approval_wrk_amz,1,14874
trms_eg_ari_email_mfn_emails_wrk_amz,1,45208
trms_eg_ari_psi_transfer_acc_level_wrk_amz,1,2634474
trms_eg_ari_seller_initiated_refund_wrk_amz,1,14084
trms_de_ari_mdr_acc_investigation_bau_wrk_amz,2288,306800
trms_de_ari_psi_transfer_acc_level_wrk_amz,418,402435
trms_de_ari_acclinkageinvestigation_wrk_amz,417,355257
trms_de_ari_nsrsou_wrk_amz,309,176358
trms_de_ari_email_ofm_wrk_amz,249,97985
trms_de_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,226,68345
trms_de_ari_email_arm_appeals_wrk_amz,208,124562
trms_de_ari_mfnegregious_wrk_amz,162,1139250
trms_de_ari_nsr_concessions_abuse_wrk_amz,154,305942
trms_de_ari_pdaconcessionsabuse_wrk_amz,100,117527
trms_de_ari_concessionsabuserr_wrk_amz,85,226991
trms_de_ari_email_maa_emails_wrk_amz,60,119181
trms_de_ari_email_dnr_emails_wrk_amz,45,96601
trms_de_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,44,29431
trms_de_ari_email_ari_esc_wrk_amz,42,378478
trms_de_ari_mdr_account_investigations_high_risk_wrk_amz,37,403420
trms_de_ari_email_contra_ari_wrk_amz,36,62717
trms_de_ari_cap_high_risk_wrk_amz,34,215297
trms_de_ari_afnrrefundapproval_wrk_amz,29,22624
trms_de_ari_afn_holistic_refund_approval_wrk_amz,22,22466
trms_de_ari_email_buyer_claims_abuse_wrk_amz,22,89830
trms_de_ari_email_buyer_returns_wrk_amz,22,73379
trms_de_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,19,30042
trms_de_ari_f3concessionsabuse_wrk_amz,13,137841
trms_de_ari_concessions_abuse_pfoc_persona_wrk_amz,12,24356
trms_de_ari_afnhighriskrefundapproval_wrk_amz,11,38752
trms_de_ari_sellerinitiatedrefund_wrk_amz,10,41037
trms_de_ari_email_aba_wrk_amz,9,38146
trms_de_ari_email_neat_wrk_amz,8,67947
trms_de_ari_email_rcr_wrk_amz,8,33062
trms_de_ari_afnrefundapproval_wrk_amz,7,21877
trms_de_ari_email_mfn_emails_wrk_amz,5,67800
trms_de_ari_afnbearsrefundapproval_wrk_amz,3,40910
trms_de_ari_pfw_highrisk_wrk_amz,2,13922
trms_de_ari_email_dsappeal_wrk_amz,1,15405
trms_de_ari_retrocharge_wrk_amz,1,28538
trms_es_ari_mdr_acc_investigation_bau_wrk_amz,428,306775
trms_es_ari_acclinkageinvestigation_wrk_amz,193,355418
trms_es_ari_email_ofm_wrk_amz,134,97015
trms_es_ari_nsrsou_wrk_amz,117,176357
trms_es_ari_mfnegregious_wrk_amz,114,1140710
trms_es_ari_psi_transfer_acc_level_wrk_amz,90,394548
trms_es_ari_nsr_concessions_abuse_wrk_amz,51,305758
trms_es_ari_email_arm_appeals_wrk_amz,48,125788
trms_es_ari_pdaconcessionsabuse_wrk_amz,45,115976
trms_es_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,45,69143
trms_es_ari_dnr_concessions_abuse_wrk_amz,41,148279
trms_es_ari_mdr_account_investigations_high_risk_wrk_amz,30,391371
trms_es_ari_email_maa_emails_wrk_amz,29,120665
trms_es_ari_f3concessionsabuse_wrk_amz,26,137841
trms_es_ari_afnhighriskrefundapproval_wrk_amz,25,42134
trms_es_ari_concessionsabuserr_wrk_amz,24,227269
